target,search_time,first_solution_time,first_solution_iteration,number_of_nodes,max_transforms,max_children,number_of_routes,number_of_solved_routes,top_score,is_solved,number_of_steps,number_of_precursors,number_of_precursors_in_stock,precursors_in_stock,precursors_not_in_stock,precursors_availability,policy_used_counts,profiling,,,,,,,,,
O=C(CCNC(=O)c1ccccc1Cl)NCC12CC3CC(CC(C3)C1)C2,3.243085384,0.015070915,1,94,5,14,54,43,0.997628706,TRUE,1,2,2,"O=C(O)c1ccccc1Cl, NCCC(=O)NCC12CC3CC(CC(C3)C1)C2",,zinc;zinc,{'uspto': 93},"{'expansion_calls': 50, 'reactants_generations': 856, 'iterations': 100}",,,,,,,,,
Cc1ccc(C)c(NC(=O)CCC(=O)NNC(=S)Nc2ccccc2)c1,10.93382597,0.032973051,1,266,13,12,87,60,0.997628706,TRUE,1,2,2,"Cc1ccc(C)c(NC(=O)CCC(=O)O)c1, NNC(=S)Nc1ccccc1",,zinc;zinc,{'uspto': 265},"{'expansion_calls': 202, 'reactants_generations': 2257, 'iterations': 100}",,,,,,,,,
COc1ccncc1CNCCCNc1ccnc2cc(Cl)ccc12,11.0291512,0.014510155,1,345,13,30,104,58,0.997628706,TRUE,1,2,2,"COc1ccncc1C=O, NCCCNc1ccnc2cc(Cl)ccc12",,zinc;zinc,{'uspto': 344},"{'expansion_calls': 262, 'reactants_generations': 1891, 'iterations': 100}",,,,,,,,,
CC(C)OC(=O)C(=NNC(=O)c1ccc(CO[Si](C)(C)C(C)(C)C)o1)c1ccccc1,150.373606,0,0,5205,13,21,3493,0,0.82024586,FALSE,6,7,6,"CC(C)O, O=C(O)c1ccc(CO)o1, O=S(Cl)Cl, O=C(O)C(=O)c1ccccc1, OCc1ccccc1, O=N[N+](=O)[O-]",CC(C)(C)[Si](C)(C)Cl,zinc;Not in stock;zinc;zinc;zinc;zinc;zinc,{'uspto': 5204},"{'expansion_calls': 1713, 'reactants_generations': 21493, 'iterations': 100}",,,,,,,,,
C[C@@H]1C2Cc3ccc(O)cc3[C@]1(C)CCN2,51.90234232,0,0,1666,13,29,506,0,0.815185025,FALSE,8,7,6,"CC(C)(O)C(C)(C)O, CC(C)(O)C(C)(C)O, OB(O)B(O)O, O=C1CCC(=O)N1Br, O=C(Cl)OCc1ccccc1, BrCc1ccccc1",C[C@@H]1C2Cc3ccccc3[C@]1(C)CC(=O)N2,zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1665},"{'expansion_calls': 1160, 'reactants_generations': 4826, 'iterations': 100}",,,,,,,,,
COc1ccc(CNCc2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)cc1OC,9.79430604,0.042490005,1,323,6,13,157,98,0.994039854,TRUE,2,3,3,"COc1ccc(CN)cc1OC, O=Cc1ccc(F)cc1, CC(C)(C)c1ccc(O)cc1",,zinc;zinc;zinc,{'uspto': 322},"{'expansion_calls': 193, 'reactants_generations': 1870, 'iterations': 100}",,,,,,,,,
O=c1c2ccccc2nc(N2CCCC2)n1-c1ccccc1,43.55637908,0.035491943,1,675,13,28,221,37,0.997628706,TRUE,1,2,2,"Nc1ccccc1, O=C(O)c1ccccc1NC(=O)N1CCCC1",,zinc;zinc,{'uspto': 674},"{'expansion_calls': 501, 'reactants_generations': 10074, 'iterations': 100}",,,,,,,,,
O=c1ccc2ccc(COc3ccccc3)cc2o1,27.91309047,0.014000177,1,549,13,17,198,43,0.997628706,TRUE,1,2,2,"O=c1ccc2ccc(CBr)cc2o1, Oc1ccccc1",,zinc;zinc,{'uspto': 548},"{'expansion_calls': 399, 'reactants_generations': 6829, 'iterations': 100}",,,,,,,,,
Nc1ncc(-c2cccc(F)c2)c(-c2ccccc2)n1,16.92823315,0.365045071,3,327,13,61,125,37,0.994039854,TRUE,2,3,3,"OB(O)c1cccc(F)c1, O=C1CCC(=O)N1Br, Nc1nccc(-c2ccccc2)n1",,zinc;zinc;zinc,{'uspto': 326},"{'expansion_calls': 264, 'reactants_generations': 4136, 'iterations': 100}",,,,,,,,,
Clc1ccc(-c2noc(CCCBr)n2)cc1,10.19637012,0.013999224,1,313,13,21,206,27,0.997628706,TRUE,1,2,2,"O=C(Cl)CCCBr, NC(=NO)c1ccc(Cl)cc1",,zinc;zinc,{'uspto': 312},"{'expansion_calls': 132, 'reactants_generations': 2140, 'iterations': 100}",,,,,,,,,
CCOC(=O)c1nn(C(=O)c2ccccc2)c2ccc(OC)cc12,25.21925688,0.015029907,1,553,13,24,130,57,0.997628706,TRUE,1,2,2,"O=C(Cl)c1ccccc1, CCOC(=O)c1n[nH]c2ccc(OC)cc12",,zinc;zinc,{'uspto': 552},"{'expansion_calls': 459, 'reactants_generations': 5041, 'iterations': 100}",,,,,,,,,
COc1ccc(C(C(=O)NC(C)(C)C)n2c(-c3ccc(=O)[nH]c3)nc3ccccc32)cc1,31.41271853,0.12447834,1,1017,13,12,113,63,0.955960146,TRUE,6,5,5,"CC(C)(C)N, COc1ccc(C=O)cn1, Nc1ccccc1[N+](=O)[O-], O=C1CCC(=O)N1Br, CCOC(=O)Cc1ccc(OC)cc1",,zinc;zinc;zinc;zinc;zinc,{'uspto': 1016},"{'expansion_calls': 917, 'reactants_generations': 3773, 'iterations': 100}",,,,,,,,,
CC(C)CCNC(=O)c1ccc(NC(=O)N2Cc3cccnc3C2)cc1,18.69342685,0.054084778,1,547,13,15,237,67,0.994039854,TRUE,2,3,3,"CC(C)CCN, COC(=O)c1ccc(N=C=O)cc1, c1cnc2c(c1)CNC2",,zinc;zinc;zinc,{'uspto': 546},"{'expansion_calls': 333, 'reactants_generations': 3272, 'iterations': 100}",,,,,,,,,
COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(=O)C[n+]5ccc(N(C)C)cc5)CC[C@]4(C)[C@H]3CC[C@]12C,103.0506887,0,0,2991,13,41,1721,0,0.712545553,FALSE,11,4,3,"CNC=O, O=C1CCC(=O)N1Cl, COCc1ccccc1",C[C@H](C=CC(=O)OC(C)(C)C)[C@H]1CC[C@H]2[C@H]3C(=CC[C@]12C)[C@@]1(C)CC[C@@H](OC(=O)C[n+]2ccc(F)cc2)C=C1CC3O[Si](C)(C)C(C)(C)C,zinc;zinc;Not in stock;zinc,{'uspto': 2990},"{'expansion_calls': 1270, 'reactants_generations': 9779, 'iterations': 100}",,,,,,,,,
Cc1ccc(C(=O)Nc2ccccc2Cl)cc1C#Cc1cc(-c2cnn(C)c2)cnc1N,25.0149641,0.078506231,1,611,12,18,132,60,0.994039854,TRUE,2,4,4,"C#Cc1cc(Br)cnc1N, Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1, Cc1ccc(C(=O)O)cc1Br, Nc1ccccc1Cl",,zinc;zinc;zinc;zinc,{'uspto': 610},"{'expansion_calls': 526, 'reactants_generations': 4602, 'iterations': 100}",,,,,,,,,
COc1ccc2c(c1)C(=O)CC1c3cnccc3C(=O)N21,74.29208302,0,0,1378,13,15,338,0,0.714871294,FALSE,7,4,3,"O=P(Cl)(Cl)Cl, COc1ccc(N)c(C(C)=O)c1, COc1ccc(C=O)cn1",O=C=O,Not in stock;zinc;zinc;zinc,{'uspto': 1377},"{'expansion_calls': 1057, 'reactants_generations': 10832, 'iterations': 100}",,,,,,,,,
NC1CN(c2cc(-c3ccsc3)ncn2)CC1c1ccc(F)cc1Cl,62.32769942,7.749132156,11,2028,13,32,777,8,0.955960146,TRUE,6,6,6,"O=P(Cl)(Cl)Cl, O=c1cc(Br)nc[nH]1, OB(O)c1ccsc1, COCN(Cc1ccccc1)C[Si](C)(C)C, C=CN1C(=O)c2ccccc2C1=O, Fc1cc(Cl)c(Br)cc1F",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 2027},"{'expansion_calls': 1252, 'reactants_generations': 5961, 'iterations': 100}",,,,,,,,,
CC(C)C[C@@H](CC(=O)NCc1ccccn1)n1c(N)nc2cc(Cl)ccc21,33.46900749,2.754783869,7,741,13,12,191,23,0.975,TRUE,4,4,4,"NCc1ccccn1, NC(=O)O, CCOC(=O)C[C@@H](N)CC(C)C, O=[N+]([O-])c1cc(Cl)ccc1F",,zinc;zinc;zinc;zinc,{'uspto': 740},"{'expansion_calls': 615, 'reactants_generations': 6719, 'iterations': 100}",,,,,,,,,
COCCn1c(-c2ccc(C(C)C)cc2)nc2c(C(F)(F)F)c(Br)cc(OC)c21,96.53430271,66.83924937,70,864,13,17,180,3,0.955960146,TRUE,6,6,6,"COCCBr, O=C1CCC(=O)N1Br, CC(C)c1ccc(C=O)cc1, O=C1CCC(=O)N1Cl, Nc1cccc(C(F)(F)F)c1[N+](=O)[O-], COCc1ccccc1",,zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 863},"{'expansion_calls': 775, 'reactants_generations': 25809, 'iterations': 100}",,,,,,,,,
CCOc1ccc(CC(=O)O)cc1-c1ccc(F)c2c1CN(C(=O)CC1(c3cccc(F)c3)CC1)CC2,69.36248088,0,0,1651,13,16,556,0,0.866007657,FALSE,7,11,10,"O=C(O)CC1(c2cccc(F)c2)CC1, O=S(Cl)Cl, CC(C)(C)O, O=C(O)Cc1ccc(O)c(Br)c1, CC(C)(O)C(C)(C)O, O=C(Cl)OCc1ccccc1, Fc1ccc(Br)c2c1CCNC2, CC(=O)O, OB(O)B(O)O, CC(C)(O)C(C)(C)O",II,zinc;zinc;zinc;zinc;zinc;Not in stock;zinc;zinc;zinc;zinc;zinc,{'uspto': 1650},"{'expansion_calls': 1177, 'reactants_generations': 10087, 'iterations': 100}",,,,,,,,,
CN(C)[C@H]1CC[C@H](Nc2c(C(=O)C3CC3)cnc3cc(F)c(-c4cc(F)c(O)c(Cl)c4)cc23)CC1,41.95325375,0.267518044,1,1474,13,23,428,44,0.952371294,TRUE,7,7,7,"OB(O)c1cc(F)c(O)c(Cl)c1, CN(C)[C@H]1CC[C@H](N)CC1, O=P(Cl)(Cl)Cl, O=C1CCC(=O)N1Br, Nc1cccc(F)c1, CCOC(=O)CC(=O)C1CC1, CCOC(OCC)OCC",,zinc;zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1473},"{'expansion_calls': 1069, 'reactants_generations': 3997, 'iterations': 100}",,,,,,,,,
CCCCCCCCCCCCCCCc1oc(O)c(C)c1C(=O)O,65.69499993,0,0,2047,13,44,678,0,0.760334643,FALSE,9,5,4,"C=CCCCC, CN(C)C(OC(C)(C)C)OC(C)(C)C, BrCc1ccccc1, CC(=O)O",C=CCCCCCCCCCc1oc(O)c(C)c1C(=O)OC,zinc;zinc;zinc;Not in stock;zinc,{'uspto': 2046},"{'expansion_calls': 1369, 'reactants_generations': 4846, 'iterations': 100}",,,,,,,,,
Cc1cc(C)c(S(=O)(=O)NC2CCC(N3CCC(C)CC3)CC2)c(C)c1,41.62337613,16.82234311,37,790,13,15,224,10,0.994039854,TRUE,2,3,3,"CC1CCN(C2CCC(N)CC2)CC1, Cc1cc(C)c(S(=O)(=O)O)c(C)c1, O=S(Cl)Cl",,zinc;zinc;zinc,{'uspto': 789},"{'expansion_calls': 620, 'reactants_generations': 7344, 'iterations': 100}",,,,,,,,,
CC(C)(C)c1nnc(-c2nn(-c3ccc(Cl)cc3Cl)c(-c3ccc(Cl)cc3)c2Cn2ncnn2)o1,57.12567186,4.950189352,7,1379,13,9,196,14,0.95089931,TRUE,8,7,7,"CC(C)(C)C(=O)NN, c1nnn[nH]1, O=C1CCC(=O)N1Br, O=S(Cl)Cl, NNc1ccc(Cl)cc1Cl, CCC(=O)c1ccc(Cl)cc1, CCOC(=O)C(=O)OCC",,zinc;zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1378},"{'expansion_calls': 1183, 'reactants_generations': 9130, 'iterations': 100}",,,,,,,,,
CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(N)=O)cs4)cc3c21,65.58920455,0,0,1730,13,20,558,0,0.749052929,FALSE,3,4,3,"O=C1CCC(=O)N1Br, CC(=O)C(N)=O, O=C(N=C=S)c1ccccc1",CC1CNC(=O)c2[nH]c3ccc(C(N)=O)cc3c21,zinc;zinc;zinc;Not in stock,{'uspto': 1729},"{'expansion_calls': 1172, 'reactants_generations': 5134, 'iterations': 100}",,,,,,,,,
COC(=O)C(Cc1ccccc1)NC(=O)[C@@]1(C)C[C@@H]1[C@@H](NC(=O)OCc1ccccc1)c1ccccc1,159.6918774,0,0,2312,13,17,400,0,0.816657008,FALSE,7,7,6,"CN(C)C=O, BrCc1ccccc1, N=C(c1ccccc1)c1ccccc1, CCOC(=O)CN, O=C(Cl)OCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C",CCOC(=O)[C@@]1(C)C[C@@H]1[C@@H](N)c1ccccc1,zinc;zinc;zinc;zinc;zinc;Not in stock;zinc,{'uspto': 2311},"{'expansion_calls': 1912, 'reactants_generations': 15476, 'iterations': 100}",,,,,,,,,
O=C(O)Cc1cc(-c2cccc([N+](=O)[O-])c2)c(O)c(-c2nc3ccccc3[nH]2)c1,62.48915052,48.47482109,76,1301,13,74,403,1,0.95089931,TRUE,8,7,7,"Nc1ccccc1N, O=[N+]([O-])c1cccc(B(O)O)c1, O=C1CCC(=O)N1Br, O=C(O)O, COC(=O)OC, COC(=O)Cc1ccc(O)cc1, COCc1ccccc1",,zinc;zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1300},"{'expansion_calls': 967, 'reactants_generations': 11878, 'iterations': 100}",,,,,,,,,
CCOC(=O)c1ccc2c(c1)nc(-c1ccccn1)n2CC,7.992448568,0.037030697,1,223,8,28,73,52,0.997628706,TRUE,1,2,2,"O=C(O)c1ccccn1, CCNc1ccc(C(=O)OCC)cc1N",,zinc;zinc,{'uspto': 222},"{'expansion_calls': 171, 'reactants_generations': 1522, 'iterations': 100}",,,,,,,,,
CC(=O)SCC(=O)NCCCCCC(=O)Nc1ccccc1,6.868754864,0.017968893,1,306,13,27,131,81,0.997628706,TRUE,1,2,2,"CC(=O)SCC(=O)O, NCCCCCC(=O)Nc1ccccc1",,zinc;zinc,{'uspto': 305},"{'expansion_calls': 184, 'reactants_generations': 1438, 'iterations': 100}",,,,,,,,,
Cc1ccc(OCCCCN(C)Cc2ccccc2)c(Br)c1,14.68741298,0.031001329,1,268,11,27,112,38,0.997628706,TRUE,1,2,2,"Cc1ccc(F)c(Br)c1, CN(CCCCO)Cc1ccccc1",,zinc;zinc,{'uspto': 267},"{'expansion_calls': 214, 'reactants_generations': 3799, 'iterations': 100}",,,,,,,,,
COC(=O)c1cccc(-c2ccc(-n3cccc3)nn2)c1,14.20373535,0.017001867,1,263,6,19,118,60,0.997628706,TRUE,1,2,2,"COC(=O)c1cccc(B(O)O)c1, Clc1ccc(-n2cccc2)nn1",,zinc;zinc,{'uspto': 262},"{'expansion_calls': 182, 'reactants_generations': 3718, 'iterations': 100}",,,,,,,,,
CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3C(=O)Nc3ccc(C)cc3)cc2CC1C,91.6532774,0,0,1633,13,16,211,0,0.749052929,FALSE,3,4,3,"Cc1ccc(N)cc1, CC(=O)Cl, O=C(Cl)C(=O)Cl",CC1Cc2cc(S(=O)(=O)N3CCCC3C(=O)O)ccc2N1,zinc;zinc;zinc;Not in stock,{'uspto': 1632},"{'expansion_calls': 1422, 'reactants_generations': 12151, 'iterations': 100}",,,,,,,,,
Cc1noc(C)c1S(=O)(=O)Nc1ccc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@@H](CN(C)Cc1ccc(C(=O)O)cc1)O2,61.10409451,0,0,1582,13,15,326,0,0.593766768,FALSE,12,8,5,"COC(=O)c1ccc(C=O)cc1, CC(=O)OC(C)=O, Cc1cc(C)on1, O=C1NC(=O)c2ccccc21, BrCc1ccccc1","C=O, O=S(=O)(O)Cl, C[C@H](CO)N1C[C@H](C)[C@@H](CO[Si](C)(C)C(C)(C)C)Oc2ccc([N+](=O)[O-])cc2C1=O",Not in stock;zinc;zinc;zinc;Not in stock;zinc;zinc;Not in stock,{'uspto': 1581},"{'expansion_calls': 1256, 'reactants_generations': 3779, 'iterations': 100}",,,,,,,,,
O=C(O)c1cc(C(=O)O)cc(-c2ccc(/C=C3/SC(=S)N(NC(=O)c4cccs4)C3=O)o2)c1,34.06589413,0.131632566,1,857,13,10,304,48,0.975,TRUE,4,4,4,"O=C(O)CSC(=S)SCC(=O)O, NNC(=O)c1cccs1, COC(=O)c1cc(B(O)O)cc(C(=O)OC)c1, O=Cc1ccc(Br)o1",,zinc;zinc;zinc;zinc,{'uspto': 856},"{'expansion_calls': 601, 'reactants_generations': 5588, 'iterations': 100}",,,,,,,,,
O=C(CCN1CC=C(c2ccc(Cl)cc2)CC1)c1ccccc1Cl,28.66234136,0.035573006,1,935,13,37,248,38,0.997628706,TRUE,1,2,2,"Clc1ccc(C2=CCNCC2)cc1, O=CCC(=O)c1ccccc1Cl",,zinc;zinc,{'uspto': 934},"{'expansion_calls': 703, 'reactants_generations': 3433, 'iterations': 100}",,,,,,,,,
CSc1ccc(CN(C)CC(=O)NCc2ccc(F)cc2)cc1,5.640842199,0.017999649,1,141,8,21,67,48,0.997628706,TRUE,1,2,2,"CSc1ccc(CN(C)CC(=O)O)cc1, NCc1ccc(F)cc1",,zinc;zinc,{'uspto': 140},"{'expansion_calls': 93, 'reactants_generations': 1328, 'iterations': 100}",,,,,,,,,
O=c1cc(Oc2ccccc2)c2cccc([N+](=O)[O-])c2[nH]1,33.58747172,0.204239607,2,810,13,51,280,28,0.997628706,TRUE,1,2,2,"O=c1cc(O)c2cccc([N+](=O)[O-])c2[nH]1, Fc1ccccc1",,zinc;zinc,{'uspto': 809},"{'expansion_calls': 562, 'reactants_generations': 5045, 'iterations': 100}",,,,,,,,,
COc1ccc2c(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c[nH]c2c1,20.21968436,0.059112072,1,474,12,11,111,77,0.994039854,TRUE,2,3,3,"COc1ccc2c(CCN)c[nH]c2c1, O=C(O)c1cc(=O)c2c(O)cccc2o1, BrCc1ccc(Br)cc1",,zinc;zinc;zinc,{'uspto': 473},"{'expansion_calls': 386, 'reactants_generations': 4196, 'iterations': 100}",,,,,,,,,
CCN1CCc2c(sc3c2C(=O)NC(/C=C\c2ccccc2)N3)C1,59.87207961,0,0,1389,13,15,261,0,0.855016768,FALSE,12,10,9,"O=S(Cl)Cl, CC(=O)O, O=C(O)c1ccccc1, Brc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, CCOC(=O)Cl, O=Cc1ccccc1, CN(C)C=O, O=C1OC(=O)c2ccccc21",C=CC1NC(=O)c2c(CCN)csc2N1,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1388},"{'expansion_calls': 1158, 'reactants_generations': 6929, 'iterations': 100}",,,,,,,,,
CC(=O)c1cccc(Nc2cc(C)nc3c(C)cc(C)cc23)c1,20.20918107,0.022001982,1,382,13,29,141,36,0.997628706,TRUE,1,2,2,"CC(=O)c1cccc(Br)c1, Cc1cc(C)c2nc(C)cc(N)c2c1",,zinc;zinc,{'uspto': 381},"{'expansion_calls': 287, 'reactants_generations': 4439, 'iterations': 100}",,,,,,,,,
Nc1ncc(-c2ccc(CN3CCCCC3)s2)cc1C(=O)Nc1ccncc1,17.05634904,0.056005001,1,804,12,16,286,108,0.994039854,TRUE,2,4,4,"Nc1ncc(Br)cc1C(=O)O, Nc1ccncc1, C1CCNCC1, CC1(C)OB(c2ccc(C=O)s2)OC1(C)C",,zinc;zinc;zinc;zinc,{'uspto': 803},"{'expansion_calls': 539, 'reactants_generations': 2049, 'iterations': 100}",,,,,,,,,
O=C(O)c1ccc(Nc2ccc([N+](=O)[O-])c3nonc23)cc1,5.187339783,0.015572309,1,129,7,19,75,43,0.997628706,TRUE,1,2,2,"Nc1ccc(C(=O)O)cc1, O=[N+]([O-])c1ccc(Cl)c2nonc12",,zinc;zinc,{'uspto': 128},"{'expansion_calls': 72, 'reactants_generations': 1344, 'iterations': 100}",,,,,,,,,
Clc1ccc(-c2nnc(-c3c[nH]c4c3Cc3ccccc3-4)o2)cc1,93.70258498,93.17462587,99,1666,13,48,296,2,0.950016768,TRUE,12,7,7,"O=C1CCC(=O)N1Br, NNC(=O)c1ccc(Cl)cc1, CC(=O)O, COC(=O)c1cc[nH]c1, O=C(Cl)C(=O)Cl, COC(=O)c1ccccc1Br, COB(OC)OC",,zinc;zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 1665},"{'expansion_calls': 1373, 'reactants_generations': 15691, 'iterations': 100}",,,,,,,,,
O=c1[nH]c(C=c2cnn3c(=NC4CC4)cc(Nc4cc(Cl)ccc4F)nc23)c(O)n1CO,122.694689,0,0,1706,13,16,561,0,0.844461212,FALSE,12,9,8,"Nc1cc(Cl)ccc1F, ClCOCc1ccccc1, O=P(Cl)(Cl)Cl, OCc1ccccc1, O=C1CCC(=O)N1Cl, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C(O)CCl, S=C(Cl)Oc1ccccc1",COc1cc(=NC2CC2)n2ncc(=Cc3c[nH]cn3)c2n1,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1705},"{'expansion_calls': 1172, 'reactants_generations': 21766, 'iterations': 100}",,,,,,,,,
COc1ccc(CN2CCCC(C(=O)Nc3cccc(-n4cccn4)c3)C2)cc1,40.98611045,3.083343506,9,1256,13,18,186,28,0.975,TRUE,4,4,4,"Nc1cccc(-n2cccn2)c1, COC(=O)Cl, COc1ccc(CCl)cc1, O=C1CCCCN1",,zinc;zinc;zinc;zinc,{'uspto': 1255},"{'expansion_calls': 1077, 'reactants_generations': 4672, 'iterations': 100}",,,,,,,,,
Cc1ccc(Cc2c(-c3ccco3)nc3ccc(C)cn23)cc1,24.77368212,0.073513269,1,522,13,13,105,33,0.986552929,TRUE,3,3,3,"Cc1ccc(C=O)cc1, O=C(CBr)c1ccco1, Cc1ccc(N)nc1",,zinc;zinc;zinc,{'uspto': 521},"{'expansion_calls': 477, 'reactants_generations': 5408, 'iterations': 100}",,,,,,,,,
Fc1ccc2c(c1)CCC1C2N=C2SCCN21,82.071069,0,0,1591,13,15,571,0,0.791683434,FALSE,12,6,5,"ClC(Cl)Cl, CC(=O)O, CS(=O)(=O)OCCBr, CC(=O)Cl, CC(=O)Cl",Fc1cc2c(cc1Cl)C1N=C(S)N(Cc3ccccc3)C1CC2Cl,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1590},"{'expansion_calls': 1030, 'reactants_generations': 14707, 'iterations': 100}",,,,,,,,,
CC1NC(c2ccccc2Oc2ccccc2)c2cccc(O)c21,65.09874797,29.52439928,39,2223,13,61,1033,1,0.950016768,TRUE,12,7,7,"Oc1ccccc1, COB(OC)OC, COS(=O)(=O)OC, OCc1ccccc1, O=C(Cl)c1ccccc1F, O=C1NC(=O)c2ccccc21, CC(=O)c1ccccc1F",,zinc;zinc;zinc;zinc;zinc;zinc;zinc,{'uspto': 2222},"{'expansion_calls': 1190, 'reactants_generations': 8088, 'iterations': 100}",,,,,,,,,
O=C(O)c1cc(-c2ccc(-c3ccccc3)cc2)nc2ocnc12,57.33010697,32.00750542,54,1456,13,56,197,1,0.997628706,TRUE,1,3,3,"O=Cc1ccc(-c2ccccc2)cc1, Nc1cnco1, CC(=O)C(=O)O",,zinc;zinc;zinc,{'uspto': 1455},"{'expansion_calls': 1276, 'reactants_generations': 6286, 'iterations': 100}",,,,,,,,,
NCCn1cc(COc2cccc(OCc3cn(CCN)nn3)c2)nn1,17.77850199,0.068634272,1,526,11,58,160,58,0.997628706,TRUE,1,2,2,"NCCn1cc(CCl)nn1, NCCn1cc(COc2cccc(O)c2)nn1",,zinc;zinc,{'uspto': 525},"{'expansion_calls': 406, 'reactants_generations': 3574, 'iterations': 100}",,,,,,,,,
CCN(CC)c1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)COC(=O)C1=COCCO1,29.50358605,1.651266336,7,560,8,19,169,21,0.986552929,TRUE,3,4,4,"BrCCOCCBr, CCN(CC)c1ccc(S(N)(=O)=O)cc1N, O=C(O)COC(=O)C1=COCCO1, O=C(Cl)C(=O)Cl",,zinc;zinc;zinc;zinc,{'uspto': 559},"{'expansion_calls': 470, 'reactants_generations': 6153, 'iterations': 100}",,,,,,,,,
CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,139.1472495,0,0,1642,13,17,131,0,0.777278897,FALSE,13,11,9,"O=S(Cl)Cl, Oc1ccccc1, CCOC(=O)CC, Oc1ccccc1, O=C(Cl)CBr, CC(=O)O, OCC(Cl)(Cl)Cl, O=C(Cl)COc1ccccc1, O=[N+]([O-])c1ccc(CBr)cc1","BrBr, CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O",zinc;zinc;Not in stock;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1641},"{'expansion_calls': 1511, 'reactants_generations': 28880, 'iterations': 100}",,,,,,,,,
CCCc1nc(Nc2cc(CCc3cc(OC)cc(OC)c3)[nH]n2)c2ccc(N3CCN(CC)CC3)cc2n1,46.08509302,3.807538033,9,1275,13,46,330,25,0.986552929,TRUE,3,4,4,"CCN1CCNCC1, COc1cc(CCc2cc(N)n[nH]2)cc(OC)c1, CCCc1nc2cc(F)ccc2c(=O)[nH]1, O=P(Cl)(Cl)Cl",,zinc;zinc;zinc;zinc,{'uspto': 1274},"{'expansion_calls': 999, 'reactants_generations': 5560, 'iterations': 100}",,,,,,,,,
O=C(N[C@H]1C2C[C@H]3CC1C[C@@](O)(C2)C3)C1(N2CCCCC2)CC1,103.282372,0,0,1929,13,34,400,0,0.792565977,FALSE,8,6,5,"BrCc1ccccc1, CCOC(=O)C1(N)CC1, BrCCCCCBr, OCc1ccccc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C",[N-]=[N+]=N[C@H]1C2C[C@H]3CC1C[C@@](O)(C2)C3,zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1928},"{'expansion_calls': 1538, 'reactants_generations': 13779, 'iterations': 100}",,,,,,,,,
COc1ccc(-c2nc(S(=O)(=O)C(F)(F)C(F)Br)[nH]c2-c2ccc(OC)cc2)cc1,72.64781356,0,0,1714,13,16,718,0,0.85500617,FALSE,13,10,9,"COc1ccc(B(O)O)cc1, O=C(OO)c1cccc(Cl)c1, O=C1CCC(=O)N1Cl, COc1ccc(C(=O)CBr)cc1, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, C=C(C)C, CC(C)(C)OC(=O)OC(=O)OC(C)(C)C, O=C(Cl)OCc1ccccc1, CN(C)C(OC(C)(C)C)OC(C)(C)C",CC(C)(C)[Si](C)(C)OC(=O)/N=C(\NC(=O)O)SC(F)(F)C(F)Br,zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;zinc;Not in stock,{'uspto': 1713},"{'expansion_calls': 1030, 'reactants_generations': 12386, 'iterations': 100}",,,,,,,,,
O=C(NC(Cn1ccnc1)c1ccccc1)c1csc(-c2cccs2)n1,44.25591087,0.088481188,1,658,13,13,158,12,0.975,TRUE,4,3,3,"O=C(O)c1csc(-c2cccs2)n1, O=C(Cn1ccnc1)c1ccccc1, O=C1c2ccccc2C(=O)N1O",,zinc;zinc;zinc,{'uspto': 657},"{'expansion_calls': 583, 'reactants_generations': 11141, 'iterations': 100}",,,,,,,,,
